S4TAX_CCE_PRINT	Impressão de carta de correção dfe's	Impressão de carta de correção dfe's
S4TAX_DFE_001	Configuração de e-mail para DFE's	Configuração de e-mail para DFE's
S4TAX_DFE_002	Configurações gerais DF-e	Configurações gerais DF-e
S4TAX_DFE_003	Gerador de cópias de dfe's	Gerador de cópias de dfe's
S4TAX_DFE_004	Status de documentos fiscais	Status de documentos fiscais
S4TAX_DFE_005	Download de dfe's em massa Remoto	Download de dfe's em massa Remoto
S4TAX_DFE_006	Gerador de dfe's mockadas	Gerador de dfe's mockadas
S4TAX_DFE_007	Envia e-mail com danfe/xml	Envia e-mail com danfe/xml
S4TAX_DFE_008	Programa para simular emissões	Programa para simular emissões
S4TAX_DFE_009	Configuração modelos e-mail DFE	Configuração modelos e-mail DFE
S4TAX_DFE_010	Carga dos XMLs do SAP GRC NFe	Carga dos XMLs do SAP GRC NFe
S4TAX_DFE_011	Download de dfe's em massa local	Download de dfe's em massa local
S4TAX_DFE_012	Conciliação de documentos	Conciliação de documentos
S4TAX_DFE_013	URL base do serviço de consulta	URL base do serviço de consulta
S4TAX_DFE_014	Configurações Reforma Tributária	Configurações Reforma Tributária
S4TAX_STATUS	Status de documentos fiscais	Status de documentos fiscais
